NaTeamHome,CoTeamHome,NaTeamAway,CoTeamAway,Date,NuScoreTeamHome,NuScoreTeamAway,FTR,time_diff
Atletico Madrid B,1511,Sporting Gijon,40194,2019-10-26,3,2,H,134
UD Logrones,54539,Real Union Irun,5571,2019-10-26,3,2,H,134
UD Logrones,59980,Real Union Irun,5571,2019-10-26,3,2,H,134
Real Sociedad B,212542,Calahorra,9646,2019-10-26,2,0,H,134
Real Sociedad B,8330,Calahorra,9646,2019-10-26,2,0,H,134
Leioa SD,39360,Salamanca B,14031,2019-10-26,2,1,H,134
Real Madrid Castilla,6833,Ferrol,3605,2019-10-26,1,2,A,134
Celta Vigo B,8796,Pontevedra,5873,2019-10-26,1,2,A,134
Villarrubia,54544,CA Linense,9695,2019-10-26,2,3,A,134
Athletic Bilbao B,8798,RealValladolidB,8986,2019-10-26,4,1,H,134
FC Andorra,1163511,lagostera,44143,2019-10-26,1,1,D,134
Granada CFB,131209,Marbella,8738,2019-10-26,0,3,A,134
CD Tudelano,9559,CDGuijuelo,8328,2019-10-20,1,1,D,140
Salamanca B,14031,CDIzarra,11802,2019-10-20,1,1,D,140
Marbella,8738,Rec de Huelva,2178,2019-10-20,2,1,H,140
Sporting Gijon,2046,Real Oviedo II,51087,2019-10-20,0,1,A,140
Sporting Gijon,40194,Real Oviedo II,51087,2019-10-20,0,1,A,140
Rayo Majadahonda,9490,Melilla,1117170,2019-10-20,2,2,D,140
Rayo Majadahonda,9490,Melilla,1204,2019-10-20,2,2,D,140
Calahorra,9646,BarakaldoCF,1551,2019-10-20,3,3,D,140
CA Linense,9695,Granada CFB,131209,2019-10-20,1,1,D,140
Las Palmas Atletico,9539,Las Rozas,9485,2019-10-20,1,0,H,140
Don Benito,6283,Murcia Feminas,193791,2019-10-20,2,1,H,140
Don Benito,6283,Murcia Feminas,3606,2019-10-20,2,1,H,140
Haro,9562,Real Sociedad B,212542,2019-10-20,2,0,H,140
Haro,9562,Real Sociedad B,8330,2019-10-20,2,0,H,140
Cultural Leonesa,4781,Leioa SD,39360,2019-10-20,2,0,H,140
Orihuela,8091,FC Andorra,1163511,2019-10-20,1,1,D,140
Gimnastic,4374,CF La Nucia,11891,2019-10-20,2,1,H,140
San Fernando,46063,Algeciras,5834,2019-10-20,2,0,H,140
San Fernando,38441,Algeciras,5834,2019-10-20,2,0,H,140
Badalona,6280,UE Olot,62216,2019-10-20,0,0,D,140
UCAM Murcia,657042,CD Badajoz,1540,2019-10-20,1,0,H,140
UCAM Murcia,44148,CD Badajoz,1540,2019-10-20,1,0,H,140
Cartagena FC,46057,Cordoba,1064,2019-10-20,2,0,H,140
Cartagena FC,8097,Cordoba,1064,2019-10-20,2,0,H,140
UD San Sebastian Reyes,2921,Celta Vigo B,8796,2019-10-20,0,3,A,140
At Sanluqueno,9534,Villarrubia,54544,2019-10-20,1,2,A,140
CP Villarrobledo,9466,Sevilla Atletico,11103,2019-10-20,3,2,H,140
CF Talavera,3106,CadizCF B,9521,2019-10-20,0,2,A,140
Pontevedra,5873,Getafe B,9488,2019-10-20,2,3,A,140
UD Ibiza,9552,Atletico Baleares,9495,2019-10-20,0,1,A,140
Ejea,9572,Valencia CFB,10203,2019-10-20,2,0,H,140
Prat,8976,Castellon,5876,2019-10-20,0,1,A,140
Hercules,2140,Ebro,9571,2019-10-20,3,0,H,140
Ferrol,3605,Atletico Madrid B,1511,2019-10-20,1,1,D,140
Coruxo FC,12897,Real Madrid Castilla,6833,2019-10-20,1,1,D,140
CESabadell,5871,RCD Espanyol B,8691,2019-10-20,3,1,H,140
UP Langreo,9607,Club Marinode Luanco,12113,2019-10-20,1,1,D,140
Internacional,51096,SCR Pena Deportiva,51101,2019-10-20,1,1,D,140
Merida AD,212941,Yeclano Deportivo,9473,2019-10-20,2,2,D,140
SD Amorebieta,13660,UD Logrones,54539,2019-10-19,0,1,A,141
SD Amorebieta,13660,UD Logrones,59980,2019-10-19,0,1,A,141
Levante B,8333,Cornella,39919,2019-10-19,3,1,H,141
Real Union Irun,5571,Athletic Bilbao B,8798,2019-10-19,0,1,A,141
RealValladolidB,8986,Alaves II,8979,2019-10-19,1,0,H,141
VillarrealB,9680,Lida,2458,2019-10-19,1,3,A,141
OsasunaB,8693,Salamanca,660103,2019-10-19,2,0,H,141
Arenas Getxo,9141,Burgos,1661,2019-10-19,0,2,A,141
lagostera,44143,Barcelona B,1553,2019-10-19,1,1,D,141
CadizCF B,9521,San Fernando,46063,2019-10-13,1,0,H,147
CadizCF B,9521,San Fernando,38441,2019-10-13,1,0,H,147
Burgos,1661,OsasunaB,8693,2019-10-13,3,2,H,147
UE Olot,62216,RCD Espanyol B,8691,2019-10-13,1,1,D,147
Melilla,1117170,Las Palmas Atletico,9539,2019-10-13,0,1,A,147
Melilla,1204,Las Palmas Atletico,9539,2019-10-13,0,1,A,147
BarakaldoCF,1551,Haro,9562,2019-10-13,2,1,H,147
CF La Nucia,11891,Badalona,6280,2019-10-13,1,1,D,147
Castellon,5876,Ejea,9572,2019-10-13,1,1,D,147
Lida,2458,Prat,8976,2019-10-13,2,0,H,147
Murcia Feminas,193791,Merida AD,212941,2019-10-13,1,0,H,147
Murcia Feminas,3606,Merida AD,212941,2019-10-13,1,0,H,147
Getafe B,9488,UD San Sebastian Reyes,2921,2019-10-13,0,2,A,147
CDIzarra,11802,Cultural Leonesa,4781,2019-10-13,0,1,A,147
Villarrubia,54544,Don Benito,6283,2019-10-13,0,1,A,147
Cornella,39919,VillarrealB,9680,2019-10-13,1,2,A,147
Real Oviedo II,51087,Ferrol,3605,2019-10-13,0,1,A,147
Algeciras,5834,Cordoba,1064,2019-10-13,2,2,D,147
Atletico Madrid B,1511,Coruxo FC,12897,2019-10-13,3,0,H,147
CD Badajoz,1540,CP Villarrobledo,9466,2019-10-13,3,2,H,147
Club Marinode Luanco,12113,SCR Pena Deportiva,51101,2019-10-13,1,0,H,147
Atletico Baleares,9495,Sporting Gijon,2046,2019-10-13,2,0,H,147
Atletico Baleares,9495,Sporting Gijon,40194,2019-10-13,2,0,H,147
CDGuijuelo,8328,Salamanca B,14031,2019-10-13,1,2,A,147
Marbella,8738,Cartagena FC,46057,2019-10-13,0,0,D,147
Marbella,8738,Cartagena FC,8097,2019-10-13,0,0,D,147
Yeclano Deportivo,9473,UCAM Murcia,657042,2019-10-13,2,1,H,147
Yeclano Deportivo,9473,UCAM Murcia,44148,2019-10-13,2,1,H,147
Real Sociedad B,212542,Alaves II,8979,2019-10-13,3,0,H,147
Real Sociedad B,8330,Alaves II,8979,2019-10-13,3,0,H,147
Ebro,9571,Levante B,8333,2019-10-13,3,1,H,147
FC Andorra,1163511,Hercules,2140,2019-10-13,2,1,H,147
Celta Vigo B,8796,Rayo Majadahonda,9490,2019-10-13,0,1,A,147
UD Ibiza,9552,Internacional,51096,2019-10-13,2,0,H,147
Las Rozas,9485,UP Langreo,9607,2019-10-13,0,0,D,147
Rec de Huelva,2178,CA Linense,9695,2019-10-13,1,1,D,147
Granada CFB,131209,At Sanluqueno,9534,2019-10-12,1,0,H,148
Valencia CFB,10203,Gimnastic,4374,2019-10-12,1,1,D,148
UD Logrones,54539,Arenas Getxo,9141,2019-10-12,4,0,H,148
UD Logrones,59980,Arenas Getxo,9141,2019-10-12,4,0,H,148
Real Madrid Castilla,6833,Pontevedra,5873,2019-10-12,2,1,H,148
lagostera,44143,CESabadell,5871,2019-10-12,0,1,A,148
Barcelona B,1553,Orihuela,8091,2019-10-12,3,0,H,148
Sevilla Atletico,11103,CF Talavera,3106,2019-10-12,1,1,D,148
Salamanca,660103,CD Tudelano,9559,2019-10-12,1,1,D,148
Leioa SD,39360,Calahorra,9646,2019-10-12,3,3,D,148
Real Union Irun,5571,RealValladolidB,8986,2019-10-12,2,1,H,148
Athletic Bilbao B,8798,SD Amorebieta,13660,2019-10-12,3,3,D,148
Orihuela,8091,Levante B,8333,2019-10-09,1,1,D,151
VillarrealB,9680,Ebro,9571,2019-10-06,1,1,D,154
Las Palmas Atletico,9539,Celta Vigo B,8796,2019-10-06,0,0,D,154
Don Benito,6283,Granada CFB,131209,2019-10-06,3,0,H,154
Ejea,9572,Lida,2458,2019-10-06,0,0,D,154
Calahorra,9646,CDIzarra,11802,2019-10-06,1,0,H,154
San Fernando,46063,Sevilla Atletico,11103,2019-10-06,1,2,A,154
San Fernando,38441,Sevilla Atletico,11103,2019-10-06,1,2,A,154
CA Linense,9695,Marbella,8738,2019-10-06,1,1,D,154
At Sanluqueno,9534,Rec de Huelva,2178,2019-10-06,1,1,D,154
CD Tudelano,9559,Burgos,1661,2019-10-06,2,2,D,154
UCAM Murcia,657042,Murcia Feminas,193791,2019-10-06,0,0,D,154
UCAM Murcia,657042,Murcia Feminas,3606,2019-10-06,0,0,D,154
UCAM Murcia,44148,Murcia Feminas,193791,2019-10-06,0,0,D,154
UCAM Murcia,44148,Murcia Feminas,3606,2019-10-06,0,0,D,154
Prat,8976,Cornella,39919,2019-10-06,1,2,A,154
Ferrol,3605,Atletico Baleares,9495,2019-10-06,0,3,A,154
CESabadell,5871,UE Olot,62216,2019-10-06,1,1,D,154
CP Villarrobledo,9466,Yeclano Deportivo,9473,2019-10-06,1,1,D,154
UP Langreo,9607,Melilla,1117170,2019-10-06,0,1,A,154
UP Langreo,9607,Melilla,1204,2019-10-06,0,1,A,154
Gimnastic,4374,Castellon,5876,2019-10-06,1,1,D,154
Pontevedra,5873,Atletico Madrid B,1511,2019-10-06,1,5,A,154
Rayo Majadahonda,9490,Getafe B,9488,2019-10-06,2,0,H,154
OsasunaB,8693,UD Logrones,54539,2019-10-06,0,1,A,154
OsasunaB,8693,UD Logrones,59980,2019-10-06,0,1,A,154
Salamanca B,14031,Salamanca,660103,2019-10-06,2,0,H,154
SCR Pena Deportiva,51101,Las Rozas,9485,2019-10-06,2,1,H,154
Badalona,6280,Valencia CFB,10203,2019-10-06,1,2,A,154
Internacional,51096,Club Marinode Luanco,12113,2019-10-06,1,0,H,154
Sporting Gijon,2046,UD Ibiza,9552,2019-10-06,0,2,A,154
Sporting Gijon,40194,UD Ibiza,9552,2019-10-06,0,2,A,154
Cordoba,1064,CadizCF B,9521,2019-10-06,1,0,H,154
Cartagena FC,46057,Algeciras,5834,2019-10-06,2,0,H,154
Cartagena FC,8097,Algeciras,5834,2019-10-06,2,0,H,154
Coruxo FC,12897,Real Oviedo II,51087,2019-10-06,1,0,H,154
CF Talavera,3106,CD Badajoz,1540,2019-10-06,0,2,A,154
Hercules,2140,Barcelona B,1553,2019-10-06,4,1,H,154
UD San Sebastian Reyes,2921,Real Madrid Castilla,6833,2019-10-06,1,1,D,154
Merida AD,212941,Villarrubia,54544,2019-10-06,1,3,A,154
Haro,9562,Leioa SD,39360,2019-10-06,0,0,D,154
RCD Espanyol B,8691,CF La Nucia,11891,2019-10-05,2,1,H,155
Alaves II,8979,BarakaldoCF,1551,2019-10-05,1,0,H,155
Orihuela,8091,lagostera,44143,2019-10-05,0,3,A,155
Arenas Getxo,9141,Athletic Bilbao B,8798,2019-10-05,1,2,A,155
SD Amorebieta,13660,Real Union Irun,5571,2019-10-05,1,4,A,155
Cultural Leonesa,4781,CDGuijuelo,8328,2019-10-05,3,1,H,155
RealValladolidB,8986,Real Sociedad B,212542,2019-10-05,2,1,H,155
RealValladolidB,8986,Real Sociedad B,8330,2019-10-05,2,1,H,155
Levante B,8333,FC Andorra,1163511,2019-10-05,1,1,D,155
Ebro,9571,Prat,8976,2019-09-29,1,1,D,161
Castellon,5876,Badalona,6280,2019-09-29,3,1,H,161
FC Andorra,1163511,VillarrealB,9680,2019-09-29,0,0,D,161
UD Logrones,54539,CD Tudelano,9559,2019-09-29,4,0,H,161
UD Logrones,59980,CD Tudelano,9559,2019-09-29,4,0,H,161
CDGuijuelo,8328,Calahorra,9646,2019-09-29,0,0,D,161
Getafe B,9488,Las Palmas Atletico,9539,2019-09-29,0,1,A,161
Granada CFB,131209,Merida AD,212941,2019-09-29,0,2,A,161
Real Oviedo II,51087,Pontevedra,5873,2019-09-29,0,1,A,161
UD Ibiza,9552,Ferrol,3605,2019-09-29,2,0,H,161
CDIzarra,11802,Haro,9562,2019-09-29,0,2,A,161
Orihuela,8091,CESabadell,5871,2019-09-29,1,1,D,161
BarakaldoCF,1551,Real Sociedad B,212542,2019-09-29,0,5,A,161
BarakaldoCF,1551,Real Sociedad B,8330,2019-09-29,0,5,A,161
Murcia Feminas,193791,CP Villarrobledo,9466,2019-09-29,3,0,H,161
Murcia Feminas,3606,CP Villarrobledo,9466,2019-09-29,3,0,H,161
CA Linense,9695,Cartagena FC,46057,2019-09-29,0,1,A,161
CA Linense,9695,Cartagena FC,8097,2019-09-29,0,1,A,161
Marbella,8738,At Sanluqueno,9534,2019-09-29,1,1,D,161
Celta Vigo B,8796,UP Langreo,9607,2019-09-29,0,1,A,161
Barcelona B,1553,Levante B,8333,2019-09-29,2,0,H,161
Yeclano Deportivo,9473,CF Talavera,3106,2019-09-29,2,0,H,161
Cornella,39919,Ejea,9572,2019-09-29,1,1,D,161
Burgos,1661,Salamanca B,14031,2019-09-29,1,0,H,161
Rec de Huelva,2178,Don Benito,6283,2019-09-29,2,0,H,161
CF La Nucia,11891,UE Olot,62216,2019-09-29,2,1,H,161
Atletico Baleares,9495,Coruxo FC,12897,2019-09-29,2,0,H,161
Las Rozas,9485,Club Marinode Luanco,12113,2019-09-29,1,0,H,161
Melilla,1117170,SCR Pena Deportiva,51101,2019-09-29,2,2,D,161
Melilla,1204,SCR Pena Deportiva,51101,2019-09-29,2,2,D,161
CD Badajoz,1540,San Fernando,46063,2019-09-29,1,2,A,161
CD Badajoz,1540,San Fernando,38441,2019-09-29,1,2,A,161
Leioa SD,39360,Alaves II,8979,2019-09-28,2,0,H,162
Lida,2458,Gimnastic,4374,2019-09-28,1,0,H,162
Real Union Irun,5571,Arenas Getxo,9141,2019-09-28,1,1,D,162
Sevilla Atletico,11103,Cordoba,1064,2019-09-28,2,1,H,162
Atletico Madrid B,1511,UD San Sebastian Reyes,2921,2019-09-28,4,0,H,162
CadizCF B,9521,Algeciras,5834,2019-09-28,2,2,D,162
Salamanca,660103,Cultural Leonesa,4781,2019-09-28,1,2,A,162
Valencia CFB,10203,RCD Espanyol B,8691,2019-09-28,1,1,D,162
Sporting Gijon,2046,Internacional,51096,2019-09-28,1,0,H,162
Sporting Gijon,40194,Internacional,51096,2019-09-28,1,0,H,162
lagostera,44143,Hercules,2140,2019-09-28,2,1,H,162
Villarrubia,54544,UCAM Murcia,657042,2019-09-28,0,0,D,162
Villarrubia,54544,UCAM Murcia,44148,2019-09-28,0,0,D,162
SD Amorebieta,13660,RealValladolidB,8986,2019-09-28,1,0,H,162
Real Madrid Castilla,6833,Rayo Majadahonda,9490,2019-09-28,3,1,H,162
Athletic Bilbao B,8798,OsasunaB,8693,2019-09-28,5,0,H,162
Alaves II,8979,CDIzarra,11802,2019-09-22,4,0,H,168
Gimnastic,4374,Cornella,39919,2019-09-22,2,2,D,168
Club Marinode Luanco,12113,Melilla,1117170,2019-09-22,0,0,D,168
Club Marinode Luanco,12113,Melilla,1204,2019-09-22,0,0,D,168
Pontevedra,5873,Atletico Baleares,9495,2019-09-22,0,1,A,168
Arenas Getxo,9141,SD Amorebieta,13660,2019-09-22,1,1,D,168
CP Villarrobledo,9466,Villarrubia,54544,2019-09-22,2,1,H,168
RCD Espanyol B,8691,Castellon,5876,2019-09-22,0,0,D,168
RealValladolidB,8986,BarakaldoCF,1551,2019-09-22,3,1,H,168
Don Benito,6283,Marbella,8738,2019-09-22,1,1,D,168
San Fernando,46063,Yeclano Deportivo,9473,2019-09-22,1,0,H,168
San Fernando,38441,Yeclano Deportivo,9473,2019-09-22,1,0,H,168
At Sanluqueno,9534,CA Linense,9695,2019-09-22,1,0,H,168
SCR Pena Deportiva,51101,Celta Vigo B,8796,2019-09-22,3,4,A,168
Haro,9562,CDGuijuelo,8328,2019-09-22,1,0,H,168
Cartagena FC,46057,CadizCF B,9521,2019-09-22,1,0,H,168
Cartagena FC,8097,CadizCF B,9521,2019-09-22,1,0,H,168
Real Sociedad B,212542,Leioa SD,39360,2019-09-22,4,3,H,168
Real Sociedad B,8330,Leioa SD,39360,2019-09-22,4,3,H,168
Ferrol,3605,Sporting Gijon,2046,2019-09-22,0,0,D,168
Ferrol,3605,Sporting Gijon,40194,2019-09-22,0,0,D,168
Rayo Majadahonda,9490,Atletico Madrid B,1511,2019-09-22,1,0,H,168
Cultural Leonesa,4781,Burgos,1661,2019-09-22,4,0,H,168
Ejea,9572,Ebro,9571,2019-09-22,1,1,D,168
UE Olot,62216,Valencia CFB,10203,2019-09-22,1,0,H,168
Badalona,6280,Lida,2458,2019-09-22,1,1,D,168
CESabadell,5871,CF La Nucia,11891,2019-09-22,1,0,H,168
CF Talavera,3106,Murcia Feminas,193791,2019-09-22,1,2,A,168
CF Talavera,3106,Murcia Feminas,3606,2019-09-22,1,2,A,168
Las Palmas Atletico,9539,Real Madrid Castilla,6833,2019-09-22,0,0,D,168
Algeciras,5834,Sevilla Atletico,11103,2019-09-22,3,0,H,168
Merida AD,212941,Rec de Huelva,2178,2019-09-22,0,1,A,168
Calahorra,9646,Salamanca,660103,2019-09-22,1,1,D,168
CD Tudelano,9559,Athletic Bilbao B,8798,2019-09-22,0,3,A,168
Prat,8976,FC Andorra,1163511,2019-09-22,0,1,A,168
Hercules,2140,Orihuela,8091,2019-09-22,1,3,A,168
Internacional,51096,Las Rozas,9485,2019-09-22,2,1,H,168
UD San Sebastian Reyes,2921,Real Oviedo II,51087,2019-09-22,2,3,A,168
Salamanca B,14031,UD Logrones,54539,2019-09-22,0,2,A,168
Salamanca B,14031,UD Logrones,59980,2019-09-22,0,2,A,168
OsasunaB,8693,Real Union Irun,5571,2019-09-21,4,2,H,169
Cordoba,1064,CD Badajoz,1540,2019-09-21,1,1,D,169
VillarrealB,9680,Barcelona B,1553,2019-09-21,0,1,A,169
Levante B,8333,lagostera,44143,2019-09-21,1,0,H,169
UP Langreo,9607,Getafe B,9488,2019-09-21,0,0,D,169
Coruxo FC,12897,UD Ibiza,9552,2019-09-21,0,0,D,169
UCAM Murcia,657042,Granada CFB,131209,2019-09-21,2,1,H,169
UCAM Murcia,44148,Granada CFB,131209,2019-09-21,2,1,H,169
Celta Vigo B,8796,Melilla,1117170,2019-09-18,4,2,H,172
Celta Vigo B,8796,Melilla,1204,2019-09-18,4,2,H,172
CD Badajoz,1540,Algeciras,5834,2019-09-15,2,1,H,175
Getafe B,9488,SCR Pena Deportiva,51101,2019-09-15,0,1,A,175
FC Andorra,1163511,Ejea,9572,2019-09-15,3,0,H,175
At Sanluqueno,9534,Cartagena FC,46057,2019-09-15,0,1,A,175
At Sanluqueno,9534,Cartagena FC,8097,2019-09-15,0,1,A,175
Atletico Madrid B,1511,Las Palmas Atletico,9539,2019-09-15,4,0,H,175
Real Union Irun,5571,CD Tudelano,9559,2019-09-15,1,2,A,175
Marbella,8738,Merida AD,212941,2019-09-15,3,2,H,175
Murcia Feminas,193791,San Fernando,46063,2019-09-15,1,2,A,175
Murcia Feminas,193791,San Fernando,38441,2019-09-15,1,2,A,175
Murcia Feminas,3606,San Fernando,46063,2019-09-15,1,2,A,175
Murcia Feminas,3606,San Fernando,38441,2019-09-15,1,2,A,175
Atletico Baleares,9495,UD San Sebastian Reyes,2921,2019-09-15,3,2,H,175
Burgos,1661,Calahorra,9646,2019-09-15,0,1,A,175
Melilla,1117170,Las Rozas,9485,2019-09-15,0,0,D,175
Melilla,1204,Las Rozas,9485,2019-09-15,0,0,D,175
Ebro,9571,Gimnastic,4374,2019-09-15,0,2,A,175
Lida,2458,RCD Espanyol B,8691,2019-09-15,2,1,H,175
Cornella,39919,Badalona,6280,2019-09-15,1,0,H,175
Celta Vigo B,8796,Club Marinode Luanco,12113,2019-09-15,0,2,A,175
Sevilla Atletico,11103,CadizCF B,9521,2019-09-15,0,1,A,175
Real Oviedo II,51087,Rayo Majadahonda,9490,2019-09-15,2,2,D,175
Salamanca,660103,Haro,9562,2019-09-15,2,1,H,175
Granada CFB,131209,CP Villarrobledo,9466,2019-09-15,2,1,H,175
Sporting Gijon,2046,Coruxo FC,12897,2019-09-15,0,1,A,175
Sporting Gijon,40194,Coruxo FC,12897,2019-09-15,0,1,A,175
UD Ibiza,9552,Pontevedra,5873,2019-09-15,2,1,H,175
Yeclano Deportivo,9473,Cordoba,1064,2019-09-15,2,2,D,175
Ferrol,3605,Internacional,51096,2019-09-15,1,1,D,175
UD Logrones,54539,Cultural Leonesa,4781,2019-09-15,3,2,H,175
UD Logrones,59980,Cultural Leonesa,4781,2019-09-15,3,2,H,175
Rec de Huelva,2178,UCAM Murcia,657042,2019-09-15,1,0,H,175
Rec de Huelva,2178,UCAM Murcia,44148,2019-09-15,1,0,H,175
Hercules,2140,CESabadell,5871,2019-09-15,0,2,A,175
CA Linense,9695,Don Benito,6283,2019-09-15,1,0,H,175
Castellon,5876,UE Olot,62216,2019-09-15,1,0,H,175
SD Amorebieta,13660,OsasunaB,8693,2019-09-14,1,0,H,176
Real Madrid Castilla,6833,UP Langreo,9607,2019-09-14,0,0,D,176
Athletic Bilbao B,8798,Salamanca B,14031,2019-09-14,4,0,H,176
Valencia CFB,10203,CF La Nucia,11891,2019-09-14,0,0,D,176
Arenas Getxo,9141,RealValladolidB,8986,2019-09-14,0,3,A,176
Barcelona B,1553,Prat,8976,2019-09-14,2,2,D,176
Villarrubia,54544,CF Talavera,3106,2019-09-14,1,1,D,176
lagostera,44143,VillarrealB,9680,2019-09-14,0,3,A,176
Leioa SD,39360,BarakaldoCF,1551,2019-09-14,1,3,A,176
CDGuijuelo,8328,Alaves II,8979,2019-09-14,1,0,H,176
CDIzarra,11802,Real Sociedad B,212542,2019-09-14,1,1,D,176
CDIzarra,11802,Real Sociedad B,8330,2019-09-14,1,1,D,176
Alaves II,8979,Salamanca,660103,2019-09-08,2,1,H,182
Salamanca B,14031,Real Union Irun,5571,2019-09-08,1,1,D,182
Algeciras,5834,Yeclano Deportivo,9473,2019-09-08,3,2,H,182
Internacional,51096,Melilla,1117170,2019-09-08,5,1,H,182
Internacional,51096,Melilla,1204,2019-09-08,5,1,H,182
San Fernando,46063,Villarrubia,54544,2019-09-08,3,0,H,182
San Fernando,38441,Villarrubia,54544,2019-09-08,3,0,H,182
Badalona,6280,Ebro,9571,2019-09-08,0,1,A,182
CadizCF B,9521,CD Badajoz,1540,2019-09-08,0,2,A,182
UD San Sebastian Reyes,2921,UD Ibiza,9552,2019-09-08,0,3,A,182
CD Tudelano,9559,SD Amorebieta,13660,2019-09-08,0,0,D,182
Pontevedra,5873,Sporting Gijon,2046,2019-09-08,2,1,H,182
Pontevedra,5873,Sporting Gijon,40194,2019-09-08,2,1,H,182
CF La Nucia,11891,Castellon,5876,2019-09-08,1,1,D,182
RCD Espanyol B,8691,Cornella,39919,2019-09-08,2,2,D,182
Rayo Majadahonda,9490,Atletico Baleares,9495,2019-09-08,2,1,H,182
SCR Pena Deportiva,51101,Real Madrid Castilla,6833,2019-09-08,2,0,H,182
Cartagena FC,46057,Sevilla Atletico,11103,2019-09-08,0,1,A,182
Cartagena FC,8097,Sevilla Atletico,11103,2019-09-08,0,1,A,182
Merida AD,212941,CA Linense,9695,2019-09-08,1,1,D,182
BarakaldoCF,1551,CDIzarra,11802,2019-09-08,1,2,A,182
Las Palmas Atletico,9539,Real Oviedo II,51087,2019-09-08,1,2,A,182
Coruxo FC,12897,Ferrol,3605,2019-09-08,2,0,H,182
CF Talavera,3106,Granada CFB,131209,2019-09-08,3,2,H,182
CESabadell,5871,Valencia CFB,10203,2019-09-08,0,0,D,182
Calahorra,9646,UD Logrones,54539,2019-09-08,1,1,D,182
Calahorra,9646,UD Logrones,59980,2019-09-08,1,1,D,182
Las Rozas,9485,Celta Vigo B,8796,2019-09-08,3,0,H,182
Cultural Leonesa,4781,Athletic Bilbao B,8798,2019-09-08,5,2,H,182
Gimnastic,4374,FC Andorra,1163511,2019-09-08,0,3,A,182
RealValladolidB,8986,Leioa SD,39360,2019-09-08,3,2,H,182
Ejea,9572,Barcelona B,1553,2019-09-07,1,0,H,183
OsasunaB,8693,Arenas Getxo,9141,2019-09-07,4,1,H,183
UE Olot,62216,Lida,2458,2019-09-07,0,1,A,183
UP Langreo,9607,Atletico Madrid B,1511,2019-09-07,1,2,A,183
CP Villarrobledo,9466,Rec de Huelva,2178,2019-09-07,2,1,H,183
Club Marinode Luanco,12113,Getafe B,9488,2019-09-07,2,3,A,183
Cordoba,1064,Murcia Feminas,193791,2019-09-07,1,0,H,183
Cordoba,1064,Murcia Feminas,3606,2019-09-07,1,0,H,183
Levante B,8333,Hercules,2140,2019-09-07,1,0,H,183
Real Sociedad B,212542,CDGuijuelo,8328,2019-09-07,2,0,H,183
Real Sociedad B,8330,CDGuijuelo,8328,2019-09-07,2,0,H,183
VillarrealB,9680,Orihuela,8091,2019-09-07,2,1,H,183
Don Benito,6283,At Sanluqueno,9534,2019-09-07,1,1,D,183
Prat,8976,lagostera,44143,2019-09-07,1,2,A,183
UCAM Murcia,657042,Marbella,8738,2019-09-07,2,2,D,183
UCAM Murcia,44148,Marbella,8738,2019-09-07,2,2,D,183
Haro,9562,Burgos,1661,2019-09-07,1,1,D,183
OsasunaB,8693,RealValladolidB,8986,2019-09-01,1,0,H,189
Don Benito,6283,Cartagena FC,46057,2019-09-01,1,2,A,189
Don Benito,6283,Cartagena FC,8097,2019-09-01,1,2,A,189
Atletico Madrid B,1511,SCR Pena Deportiva,51101,2019-09-01,1,3,A,189
UD Ibiza,9552,Rayo Majadahonda,9490,2019-09-01,2,0,H,189
Ebro,9571,RCD Espanyol B,8691,2019-09-01,0,0,D,189
Getafe B,9488,Las Rozas,9485,2019-09-01,0,0,D,189
CDIzarra,11802,Leioa SD,39360,2019-09-01,2,0,H,189
Rec de Huelva,2178,CF Talavera,3106,2019-09-01,3,1,H,189
CA Linense,9695,UCAM Murcia,657042,2019-09-01,1,0,H,189
CA Linense,9695,UCAM Murcia,44148,2019-09-01,1,0,H,189
Yeclano Deportivo,9473,CadizCF B,9521,2019-09-01,2,1,H,189
Castellon,5876,Valencia CFB,10203,2019-09-01,2,2,D,189
UD Logrones,54539,Haro,9562,2019-09-01,0,1,A,189
UD Logrones,59980,Haro,9562,2019-09-01,0,1,A,189
Real Oviedo II,51087,UP Langreo,9607,2019-09-01,2,1,H,189
CDGuijuelo,8328,BarakaldoCF,1551,2019-09-01,1,2,A,189
Lida,2458,CF La Nucia,11891,2019-09-01,0,2,A,189
Levante B,8333,CESabadell,5871,2019-09-01,1,2,A,189
Granada CFB,131209,San Fernando,46063,2019-09-01,0,0,D,189
Granada CFB,131209,San Fernando,38441,2019-09-01,0,0,D,189
Murcia Feminas,193791,Algeciras,5834,2019-09-01,1,1,D,189
Murcia Feminas,3606,Algeciras,5834,2019-09-01,1,1,D,189
Barcelona B,1553,Gimnastic,4374,2019-09-01,2,2,D,189
Burgos,1661,Alaves II,8979,2019-09-01,1,1,D,189
FC Andorra,1163511,Badalona,6280,2019-09-01,2,0,H,189
Hercules,2140,VillarrealB,9680,2019-09-01,1,2,A,189
Coruxo FC,12897,Internacional,51096,2019-09-01,0,2,A,189
Atletico Baleares,9495,Las Palmas Atletico,9539,2019-09-01,1,0,H,189
Orihuela,8091,Prat,8976,2019-09-01,1,1,D,189
Real Union Irun,5571,Cultural Leonesa,4781,2019-09-01,1,1,D,189
Sporting Gijon,2046,UD San Sebastian Reyes,2921,2019-09-01,5,0,H,189
Sporting Gijon,40194,UD San Sebastian Reyes,2921,2019-09-01,5,0,H,189
At Sanluqueno,9534,Merida AD,212941,2019-09-01,3,0,H,189
