HomeTeam,AwayTeam,HomeScore,AwayScore,Date,Competition,Country,Matchday
Athletic Bilbao B,Real Union Irun,2,0,2019-05-12,Segunda B,Spain,37
Pontevedra,Atletico Madrid B,0,2,2019-05-12,Segunda B,Spain,37
RCD Espanyol B,Levante B,2,1,2019-05-12,Segunda B,Spain,37
Burgos,Celta Vigo B,2,1,2019-05-12,Segunda B,Spain,37
Murcia Feminas,Melilla,2,0,2019-05-12,Segunda B,Spain,37
Conquense,Castellon,1,1,2019-05-12,Segunda B,Spain,37
UD San Sebastian Reyes,Cultural Leonesa,1,2,2019-05-12,Segunda B,Spain,37
Salmantino Salamanca II,Internacional,2,1,2019-05-12,Segunda B,Spain,37
Rapido Bouzas,Real Madrid Castilla,0,3,2019-05-12,Segunda B,Spain,37
Real Oviedo II,Santander,1,1,2019-05-12,Segunda B,Spain,37
SD Amorebieta,UP Langreo,2,0,2019-05-12,Segunda B,Spain,37
UD Ibiza,Malaga B,2,1,2019-05-12,Segunda B,Spain,37
Real Sociedad B,Arenas Getxo,1,1,2019-05-12,Segunda B,Spain,37
CD Badajoz,Sevilla Atletico,2,0,2019-05-12,Segunda B,Spain,37
Barcelona B,Hercules,0,2,2019-05-12,Segunda B,Spain,37
UD Logrones,CDIzarra,2,1,2019-05-12,Segunda B,Spain,37
CDGuijuelo,RealValladolidB,0,0,2019-05-12,Segunda B,Spain,37
Almeria B,UD Ibiza,0,1,2019-05-05,Segunda B,Spain,36
Atletico Madrid B,Rapido Bouzas,5,1,2019-05-05,Segunda B,Spain,36
Badalona,Atletico Baleares,0,0,2019-05-05,Segunda B,Spain,36
BarakaldoCF,SD Amorebieta,4,3,2019-05-05,Segunda B,Spain,36
Calahorra,Athletic Bilbao B,0,3,2019-05-05,Segunda B,Spain,36
RealValladolidB,Salmantino Salamanca II,1,0,2019-05-05,Segunda B,Spain,36
Sevilla Atletico,Villanovense,2,1,2019-05-05,Segunda B,Spain,36
CDANavalcarnero,CDGuijuelo,0,1,2019-05-05,Segunda B,Spain,36
CD Teruel,Ebro,4,1,2019-05-05,Segunda B,Spain,36
Cartagena FC,Marbella,2,0,2019-05-05,Segunda B,Spain,36
Internacional,Burgos,0,1,2019-05-05,Segunda B,Spain,36
Celta Vigo B,Ponferradina,1,1,2019-05-05,Segunda B,Spain,36
Cornella,RCD Espanyol B,0,2,2019-05-05,Segunda B,Spain,36
Melilla,CD Badajoz,2,1,2019-05-05,Segunda B,Spain,36
Sporting Gijon,CD Tudelano,0,0,2019-05-05,Segunda B,Spain,36
Lida,Barcelona B,1,2,2019-05-05,Segunda B,Spain,36
CDIzarra,Real Oviedo II,1,1,2019-05-05,Segunda B,Spain,36
Don Benito,CF Talavera,0,1,2019-05-05,Segunda B,Spain,36
UCAM Murcia,San Fernando,2,1,2019-05-05,Segunda B,Spain,36
Castellon,Peralada,3,1,2019-05-05,Segunda B,Spain,36
Las Palmas Atletico,Pontevedra,2,1,2019-05-05,Segunda B,Spain,36
Malaga B,Murcia Feminas,1,0,2019-05-04,Segunda B,Spain,36
Ejea,UE Olot,0,0,2019-05-04,Segunda B,Spain,36
Granada CFB,CA Linense,3,2,2019-05-04,Segunda B,Spain,36
Arenas Getxo,UD Logrones,1,3,2019-05-04,Segunda B,Spain,36
Mirandes,Real Sociedad B,2,1,2019-05-04,Segunda B,Spain,36
Cultural Leonesa,Deportivo La Coruna B,4,0,2019-05-04,Segunda B,Spain,36
Real Madrid Castilla,Coruxo FC,3,0,2019-05-04,Segunda B,Spain,36
Durango,Leioa SD,0,3,2019-05-04,Segunda B,Spain,36
Levante B,VillarrealB,1,3,2019-05-04,Segunda B,Spain,36
Salamanca,UD San Sebastian Reyes,1,1,2019-05-04,Segunda B,Spain,36
UP Langreo,Torrelavega,1,0,2019-05-04,Segunda B,Spain,36
At Sanluqueno,Rec de Huelva,0,3,2019-05-04,Segunda B,Spain,36
Hercules,Conquense,1,0,2019-05-04,Segunda B,Spain,36
Real Union Irun,Victoria,2,0,2019-05-04,Segunda B,Spain,36
Alcoyano,CESabadell,2,1,2019-05-03,Segunda B,Spain,36
Real Oviedo II,Arenas Getxo,3,2,2019-04-28,Segunda B,Spain,35
Murcia Feminas,Almeria B,0,0,2019-04-28,Segunda B,Spain,35
San Fernando,Cartagena FC,1,2,2019-04-28,Segunda B,Spain,35
Salmantino Salamanca II,CDANavalcarnero,3,2,2019-04-28,Segunda B,Spain,35
RCD Espanyol B,CD Teruel,3,0,2019-04-28,Segunda B,Spain,35
Barcelona B,Badalona,1,1,2019-04-28,Segunda B,Spain,35
Adarve,Pontevedra,3,0,2019-04-28,Segunda B,Spain,35
SD Gernika,CDIzarra,0,1,2019-04-28,Segunda B,Spain,35
Fuenlabrada,Celta Vigo B,2,1,2019-04-28,Segunda B,Spain,35
CF Talavera,Granada CFB,0,2,2019-04-28,Segunda B,Spain,35
Rec de Huelva,CA Linense,1,0,2019-04-28,Segunda B,Spain,35
Villanovense,Melilla,1,2,2019-04-28,Segunda B,Spain,35
Burgos,RealValladolidB,1,0,2019-04-28,Segunda B,Spain,35
Rapido Bouzas,Las Palmas Atletico,2,1,2019-04-28,Segunda B,Spain,35
UE Olot,Ebro,0,0,2019-04-28,Segunda B,Spain,35
UD San Sebastian Reyes,Real Madrid Castilla,2,2,2019-04-28,Segunda B,Spain,35
Atletico Baleares,Valencia CFB,3,2,2019-04-28,Segunda B,Spain,35
Real Union Irun,Calahorra,0,1,2019-04-28,Segunda B,Spain,35
Ejea,Alcoyano,2,1,2019-04-28,Segunda B,Spain,35
Athletic Bilbao B,Sporting Gijon,0,2,2019-04-28,Segunda B,Spain,35
Torrelavega,BarakaldoCF,1,3,2019-04-28,Segunda B,Spain,35
Poli Ejido,UCAM Murcia,2,0,2019-04-27,Segunda B,Spain,35
Conquense,Lida,1,2,2019-04-27,Segunda B,Spain,35
Peralada,Hercules,0,1,2019-04-27,Segunda B,Spain,35
CD Badajoz,Malaga B,4,0,2019-04-27,Segunda B,Spain,35
UD Logrones,Mirandes,3,0,2019-04-27,Segunda B,Spain,35
Victoria,Real Sociedad B,2,1,2019-04-27,Segunda B,Spain,35
At Sanluqueno,Sevilla Atletico,1,0,2019-04-27,Segunda B,Spain,35
Ponferradina,Internacional,3,0,2019-04-27,Segunda B,Spain,35
CDGuijuelo,Cultural Leonesa,1,0,2019-04-27,Segunda B,Spain,35
CD Tudelano,UP Langreo,2,0,2019-04-27,Segunda B,Spain,35
SD Amorebieta,Durango,3,0,2019-04-27,Segunda B,Spain,35
Coruxo FC,Atletico Madrid B,3,0,2019-04-27,Segunda B,Spain,35
CESabadell,Castellon,2,1,2019-04-27,Segunda B,Spain,35
Marbella,Don Benito,4,0,2019-04-27,Segunda B,Spain,35
VillarrealB,Cornella,0,0,2019-04-27,Segunda B,Spain,35
Leioa SD,Santander,1,1,2019-04-27,Segunda B,Spain,35
Deportivo La Coruna B,Salamanca,3,3,2019-04-27,Segunda B,Spain,35
Castellon,Ejea,1,0,2019-04-21,Segunda B,Spain,34
Cartagena FC,Poli Ejido,3,0,2019-04-21,Segunda B,Spain,34
Ebro,RCD Espanyol B,1,1,2019-04-21,Segunda B,Spain,34
Atletico Madrid B,UD San Sebastian Reyes,1,0,2019-04-21,Segunda B,Spain,34
Internacional,Fuenlabrada,0,0,2019-04-21,Segunda B,Spain,34
Valencia CFB,Barcelona B,1,0,2019-04-21,Segunda B,Spain,34
Lida,Peralada,2,0,2019-04-21,Segunda B,Spain,34
UCAM Murcia,UD Ibiza,1,1,2019-04-21,Segunda B,Spain,34
Las Palmas Atletico,Coruxo FC,1,0,2019-04-21,Segunda B,Spain,34
Celta Vigo B,Adarve,4,2,2019-04-21,Segunda B,Spain,34
Melilla,At Sanluqueno,4,0,2019-04-21,Segunda B,Spain,34
Santander,SD Amorebieta,1,1,2019-04-21,Segunda B,Spain,34
CA Linense,CF Talavera,0,1,2019-04-21,Segunda B,Spain,34
Cultural Leonesa,Salmantino Salamanca II,1,1,2019-04-21,Segunda B,Spain,34
Calahorra,Victoria,2,0,2019-04-21,Segunda B,Spain,34
Sevilla Atletico,Rec de Huelva,1,2,2019-04-21,Segunda B,Spain,34
CDANavalcarnero,Burgos,1,1,2019-04-21,Segunda B,Spain,34
Real Sociedad B,UD Logrones,0,1,2019-04-20,Segunda B,Spain,34
Salamanca,CDGuijuelo,1,0,2019-04-20,Segunda B,Spain,34
Granada CFB,Marbella,0,0,2019-04-20,Segunda B,Spain,34
Mirandes,Real Oviedo II,1,0,2019-04-20,Segunda B,Spain,34
Don Benito,San Fernando,4,3,2019-04-20,Segunda B,Spain,34
Levante B,Atletico Baleares,1,2,2019-04-20,Segunda B,Spain,34
RealValladolidB,Ponferradina,1,3,2019-04-20,Segunda B,Spain,34
Hercules,CESabadell,2,0,2019-04-20,Segunda B,Spain,34
Almeria B,CD Badajoz,1,2,2019-04-20,Segunda B,Spain,34
Alcoyano,UE Olot,1,1,2019-04-20,Segunda B,Spain,34
Sporting Gijon,Real Union Irun,0,1,2019-04-19,Segunda B,Spain,34
Badalona,Conquense,0,0,2019-04-19,Segunda B,Spain,34
UP Langreo,Athletic Bilbao B,0,2,2019-04-18,Segunda B,Spain,34
BarakaldoCF,CD Tudelano,1,1,2019-04-18,Segunda B,Spain,34
Real Madrid Castilla,Deportivo La Coruna B,1,0,2019-04-18,Segunda B,Spain,34
Pontevedra,Rapido Bouzas,3,1,2019-04-18,Segunda B,Spain,34
Arenas Getxo,SD Gernika,4,1,2019-04-17,Segunda B,Spain,34
CDIzarra,Leioa SD,2,1,2019-04-17,Segunda B,Spain,34
Coruxo FC,Pontevedra,0,1,2019-04-14,Segunda B,Spain,33
Alcoyano,Castellon,1,1,2019-04-14,Segunda B,Spain,33
Victoria,UD Logrones,0,2,2019-04-14,Segunda B,Spain,33
Burgos,Cultural Leonesa,2,2,2019-04-14,Segunda B,Spain,33
UD San Sebastian Reyes,Las Palmas Atletico,0,2,2019-04-14,Segunda B,Spain,33
CD Tudelano,Durango,1,0,2019-04-14,Segunda B,Spain,33
Peralada,Badalona,1,2,2019-04-14,Segunda B,Spain,33
Poli Ejido,Don Benito,0,1,2019-04-14,Segunda B,Spain,33
Calahorra,Sporting Gijon,1,3,2019-04-14,Segunda B,Spain,33
Real Oviedo II,Real Sociedad B,2,1,2019-04-14,Segunda B,Spain,33
Rec de Huelva,CF Talavera,1,0,2019-04-14,Segunda B,Spain,33
UE Olot,RCD Espanyol B,0,1,2019-04-14,Segunda B,Spain,33
CESabadell,Lida,1,0,2019-04-14,Segunda B,Spain,33
Celta Vigo B,Internacional,5,0,2019-04-14,Segunda B,Spain,33
Atletico Baleares,Cornella,2,0,2019-04-14,Segunda B,Spain,33
Fuenlabrada,RealValladolidB,2,0,2019-04-14,Segunda B,Spain,33
Deportivo La Coruna B,Atletico Madrid B,0,2,2019-04-14,Segunda B,Spain,33
UD Ibiza,Cartagena FC,1,0,2019-04-14,Segunda B,Spain,33
CDGuijuelo,Real Madrid Castilla,2,1,2019-04-14,Segunda B,Spain,33
Sevilla Atletico,Melilla,0,0,2019-04-14,Segunda B,Spain,33
VillarrealB,Ebro,1,2,2019-04-13,Segunda B,Spain,33
Murcia Feminas,UCAM Murcia,0,1,2019-04-13,Segunda B,Spain,33
Real Union Irun,UP Langreo,4,0,2019-04-13,Segunda B,Spain,33
Ejea,Hercules,0,0,2019-04-13,Segunda B,Spain,33
Athletic Bilbao B,BarakaldoCF,4,1,2019-04-13,Segunda B,Spain,33
SD Amorebieta,CDIzarra,0,0,2019-04-13,Segunda B,Spain,33
Conquense,Valencia CFB,3,0,2019-04-13,Segunda B,Spain,33
Barcelona B,Levante B,3,2,2019-04-13,Segunda B,Spain,33
San Fernando,Granada CFB,0,0,2019-04-13,Segunda B,Spain,33
Marbella,CA Linense,2,0,2019-04-13,Segunda B,Spain,33
Leioa SD,Arenas Getxo,0,0,2019-04-13,Segunda B,Spain,33
At Sanluqueno,Malaga B,1,1,2019-04-13,Segunda B,Spain,33
Salmantino Salamanca II,Salamanca,1,1,2019-04-13,Segunda B,Spain,33
CA Linense,San Fernando,0,1,2019-04-07,Segunda B,Spain,32
Cornella,Barcelona B,2,2,2019-04-07,Segunda B,Spain,32
Almeria B,At Sanluqueno,1,0,2019-04-07,Segunda B,Spain,32
Don Benito,UD Ibiza,2,2,2019-04-07,Segunda B,Spain,32
Cultural Leonesa,Ponferradina,1,1,2019-04-07,Segunda B,Spain,32
Castellon,UE Olot,1,1,2019-04-07,Segunda B,Spain,32
Real Madrid Castilla,Salmantino Salamanca II,1,1,2019-04-07,Segunda B,Spain,32
Melilla,Rec de Huelva,1,1,2019-04-07,Segunda B,Spain,32
Pontevedra,UD San Sebastian Reyes,3,1,2019-04-07,Segunda B,Spain,32
CF Talavera,Marbella,0,3,2019-04-07,Segunda B,Spain,32
Badalona,CESabadell,2,0,2019-04-07,Segunda B,Spain,32
Valencia CFB,Peralada,0,1,2019-04-07,Segunda B,Spain,32
Levante B,Conquense,1,1,2019-04-07,Segunda B,Spain,32
Internacional,Adarve,1,2,2019-04-07,Segunda B,Spain,32
CDIzarra,Torrelavega,2,2,2019-04-07,Segunda B,Spain,32
UCAM Murcia,CD Badajoz,1,2,2019-04-07,Segunda B,Spain,32
CD Teruel,Atletico Baleares,1,1,2019-04-07,Segunda B,Spain,32
Atletico Madrid B,CDGuijuelo,0,1,2019-04-07,Segunda B,Spain,32
RCD Espanyol B,VillarrealB,0,1,2019-04-07,Segunda B,Spain,32
Granada CFB,Poli Ejido,1,1,2019-04-07,Segunda B,Spain,32
Real Sociedad B,SD Gernika,1,1,2019-04-07,Segunda B,Spain,32
Lida,Ejea,0,1,2019-04-07,Segunda B,Spain,32
Cartagena FC,Murcia Feminas,1,1,2019-04-07,Segunda B,Spain,32
BarakaldoCF,Real Union Irun,3,1,2019-04-07,Segunda B,Spain,32
UD Logrones,Real Oviedo II,3,4,2019-04-07,Segunda B,Spain,32
Sporting Gijon,Victoria,3,2,2019-04-07,Segunda B,Spain,32
Rapido Bouzas,Coruxo FC,0,0,2019-04-07,Segunda B,Spain,32
Las Palmas Atletico,Deportivo La Coruna B,0,0,2019-04-07,Segunda B,Spain,32
Santander,CD Tudelano,2,1,2019-04-07,Segunda B,Spain,32
Mirandes,Leioa SD,2,1,2019-04-07,Segunda B,Spain,32
Malaga B,Sevilla Atletico,3,0,2019-04-07,Segunda B,Spain,32
UP Langreo,Calahorra,2,1,2019-04-07,Segunda B,Spain,32
Arenas Getxo,SD Amorebieta,1,1,2019-04-06,Segunda B,Spain,32
Durango,Athletic Bilbao B,3,2,2019-04-06,Segunda B,Spain,32
RealValladolidB,Celta Vigo B,1,0,2019-04-06,Segunda B,Spain,32
Salamanca,Burgos,0,0,2019-04-06,Segunda B,Spain,32
Hercules,Alcoyano,0,0,2019-04-06,Segunda B,Spain,32
Victoria,Real Oviedo II,0,0,2019-03-31,Segunda B,Spain,31
Alcoyano,Lida,2,1,2019-03-31,Segunda B,Spain,31
CD Tudelano,CDIzarra,1,1,2019-03-31,Segunda B,Spain,31
Celta Vigo B,CDANavalcarnero,3,1,2019-03-31,Segunda B,Spain,31
Atletico Baleares,Ebro,0,0,2019-03-31,Segunda B,Spain,31
Torrelavega,Arenas Getxo,1,1,2019-03-31,Segunda B,Spain,31
Peralada,Levante B,0,0,2019-03-31,Segunda B,Spain,31
Villanovense,UCAM Murcia,1,1,2019-03-31,Segunda B,Spain,31
UE Olot,VillarrealB,2,2,2019-03-31,Segunda B,Spain,31
CESabadell,Valencia CFB,0,1,2019-03-31,Segunda B,Spain,31
San Fernando,CF Talavera,1,2,2019-03-31,Segunda B,Spain,31
CDGuijuelo,Las Palmas Atletico,0,0,2019-03-31,Segunda B,Spain,31
Calahorra,BarakaldoCF,2,1,2019-03-31,Segunda B,Spain,31
Sporting Gijon,UP Langreo,2,0,2019-03-31,Segunda B,Spain,31
Adarve,Coruxo FC,3,3,2019-03-31,Segunda B,Spain,31
Conquense,Cornella,0,0,2019-03-31,Segunda B,Spain,31
Murcia Feminas,Don Benito,0,1,2019-03-31,Segunda B,Spain,31
Burgos,Real Madrid Castilla,1,2,2019-03-31,Segunda B,Spain,31
Fuenlabrada,Cultural Leonesa,1,0,2019-03-31,Segunda B,Spain,31
Ejea,Badalona,0,0,2019-03-31,Segunda B,Spain,31
UD Ibiza,Granada CFB,1,1,2019-03-31,Segunda B,Spain,31
Real Union Irun,Durango,0,2,2019-03-31,Segunda B,Spain,31
Poli Ejido,CA Linense,3,2,2019-03-31,Segunda B,Spain,31
CD Badajoz,Cartagena FC,1,0,2019-03-31,Segunda B,Spain,31
UD San Sebastian Reyes,Rapido Bouzas,0,1,2019-03-31,Segunda B,Spain,31
Rec de Huelva,Marbella,0,0,2019-03-31,Segunda B,Spain,31
Melilla,Malaga B,2,1,2019-03-31,Segunda B,Spain,31
SD Gernika,UD Logrones,0,0,2019-03-31,Segunda B,Spain,31
Internacional,RealValladolidB,2,1,2019-03-31,Segunda B,Spain,31
Leioa SD,Real Sociedad B,1,0,2019-03-30,Segunda B,Spain,31
Sevilla Atletico,Almeria B,1,0,2019-03-30,Segunda B,Spain,31
SD Amorebieta,Mirandes,1,0,2019-03-30,Segunda B,Spain,31
Castellon,Hercules,1,2,2019-03-30,Segunda B,Spain,31
Barcelona B,CD Teruel,2,1,2019-03-30,Segunda B,Spain,31
Athletic Bilbao B,Santander,1,1,2019-03-30,Segunda B,Spain,31
Ponferradina,Salamanca,3,0,2019-03-30,Segunda B,Spain,31
Deportivo La Coruna B,Pontevedra,0,1,2019-03-30,Segunda B,Spain,31
Salmantino Salamanca II,Atletico Madrid B,0,2,2019-03-30,Segunda B,Spain,31
Ebro,Barcelona B,0,1,2019-03-24,Segunda B,Spain,30
UCAM Murcia,At Sanluqueno,0,0,2019-03-24,Segunda B,Spain,30
Marbella,San Fernando,2,0,2019-03-24,Segunda B,Spain,30
Almeria B,Melilla,1,4,2019-03-24,Segunda B,Spain,30
Real Oviedo II,SD Gernika,0,0,2019-03-24,Segunda B,Spain,30
Santander,Real Union Irun,0,0,2019-03-24,Segunda B,Spain,30
Pontevedra,CDGuijuelo,2,1,2019-03-24,Segunda B,Spain,30
Real Madrid Castilla,Ponferradina,0,0,2019-03-24,Segunda B,Spain,30
Cornella,Peralada,0,0,2019-03-24,Segunda B,Spain,30
Cartagena FC,Villanovense,1,1,2019-03-24,Segunda B,Spain,30
Las Palmas Atletico,Salmantino Salamanca II,0,0,2019-03-24,Segunda B,Spain,30
Cultural Leonesa,Celta Vigo B,3,1,2019-03-24,Segunda B,Spain,30
RCD Espanyol B,Atletico Baleares,0,2,2019-03-24,Segunda B,Spain,30
Don Benito,CD Badajoz,1,2,2019-03-24,Segunda B,Spain,30
RealValladolidB,Adarve,2,1,2019-03-24,Segunda B,Spain,30
Granada CFB,Murcia Feminas,1,2,2019-03-24,Segunda B,Spain,30
CDIzarra,Athletic Bilbao B,0,0,2019-03-24,Segunda B,Spain,30
Malaga B,Rec de Huelva,0,1,2019-03-24,Segunda B,Spain,30
Badalona,Alcoyano,2,1,2019-03-24,Segunda B,Spain,30
Valencia CFB,Ejea,2,1,2019-03-24,Segunda B,Spain,30
BarakaldoCF,Sporting Gijon,0,1,2019-03-24,Segunda B,Spain,30
CF Talavera,Poli Ejido,2,0,2019-03-24,Segunda B,Spain,30
Coruxo FC,UD San Sebastian Reyes,2,2,2019-03-24,Segunda B,Spain,30
UD Logrones,Leioa SD,0,0,2019-03-24,Segunda B,Spain,30
CA Linense,UD Ibiza,0,0,2019-03-24,Segunda B,Spain,30
Lida,Castellon,0,1,2019-03-24,Segunda B,Spain,30
Atletico Madrid B,Burgos,0,1,2019-03-24,Segunda B,Spain,30
Levante B,CESabadell,3,1,2019-03-24,Segunda B,Spain,30
CDANavalcarnero,Internacional,1,5,2019-03-24,Segunda B,Spain,30
Durango,Calahorra,1,2,2019-03-23,Segunda B,Spain,30
Real Sociedad B,SD Amorebieta,1,2,2019-03-23,Segunda B,Spain,30
Hercules,UE Olot,1,0,2019-03-23,Segunda B,Spain,30
UP Langreo,Victoria,0,0,2019-03-23,Segunda B,Spain,30
Salamanca,Fuenlabrada,3,1,2019-03-23,Segunda B,Spain,30
Arenas Getxo,CD Tudelano,0,1,2019-03-23,Segunda B,Spain,30
CDGuijuelo,Rapido Bouzas,1,0,2019-03-17,Segunda B,Spain,29
Fuenlabrada,Real Madrid Castilla,0,0,2019-03-17,Segunda B,Spain,29
Villanovense,Don Benito,1,1,2019-03-17,Segunda B,Spain,29
CD Tudelano,Mirandes,1,1,2019-03-17,Segunda B,Spain,29
CESabadell,Cornella,1,1,2019-03-17,Segunda B,Spain,29
Castellon,Badalona,2,1,2019-03-17,Segunda B,Spain,29
Rec de Huelva,San Fernando,1,1,2019-03-17,Segunda B,Spain,29
UD Ibiza,CF Talavera,1,0,2019-03-17,Segunda B,Spain,29
Salmantino Salamanca II,Pontevedra,3,0,2019-03-17,Segunda B,Spain,29
CD Badajoz,Granada CFB,1,0,2019-03-17,Segunda B,Spain,29
Real Union Irun,CDIzarra,0,4,2019-03-17,Segunda B,Spain,29
Conquense,Ebro,0,1,2019-03-17,Segunda B,Spain,29
Torrelavega,Real Sociedad B,1,0,2019-03-17,Segunda B,Spain,29
Deportivo La Coruna B,Coruxo FC,1,1,2019-03-17,Segunda B,Spain,29
Burgos,Las Palmas Atletico,3,0,2019-03-17,Segunda B,Spain,29
Alcoyano,Valencia CFB,1,1,2019-03-17,Segunda B,Spain,29
Sevilla Atletico,UCAM Murcia,2,1,2019-03-17,Segunda B,Spain,29
Atletico Baleares,VillarrealB,1,0,2019-03-17,Segunda B,Spain,29
Internacional,Cultural Leonesa,1,1,2019-03-17,Segunda B,Spain,29
Adarve,UD San Sebastian Reyes,1,2,2019-03-17,Segunda B,Spain,29
Murcia Feminas,CA Linense,0,2,2019-03-17,Segunda B,Spain,29
Poli Ejido,Marbella,0,0,2019-03-17,Segunda B,Spain,29
Calahorra,Santander,0,1,2019-03-17,Segunda B,Spain,29
UP Langreo,BarakaldoCF,0,2,2019-03-17,Segunda B,Spain,29
Celta Vigo B,Salamanca,2,1,2019-03-17,Segunda B,Spain,29
Athletic Bilbao B,Arenas Getxo,2,1,2019-03-17,Segunda B,Spain,29
Ponferradina,Atletico Madrid B,1,0,2019-03-16,Segunda B,Spain,29
At Sanluqueno,Cartagena FC,3,1,2019-03-16,Segunda B,Spain,29
Sporting Gijon,Durango,1,2,2019-03-16,Segunda B,Spain,29
Ejea,Levante B,0,1,2019-03-16,Segunda B,Spain,29
Hercules,Lida,0,0,2019-03-16,Segunda B,Spain,29
SD Amorebieta,UD Logrones,1,2,2019-03-16,Segunda B,Spain,29
RealValladolidB,CDANavalcarnero,2,1,2019-03-16,Segunda B,Spain,29
Leioa SD,Real Oviedo II,2,2,2019-03-16,Segunda B,Spain,29
Barcelona B,RCD Espanyol B,0,1,2019-03-16,Segunda B,Spain,29
Levante B,Alcoyano,2,0,2019-03-10,Segunda B,Spain,28
Don Benito,At Sanluqueno,2,2,2019-03-10,Segunda B,Spain,28
BarakaldoCF,Victoria,2,2,2019-03-10,Segunda B,Spain,28
Cartagena FC,Sevilla Atletico,0,0,2019-03-10,Segunda B,Spain,28
VillarrealB,Barcelona B,2,1,2019-03-10,Segunda B,Spain,28
Cornella,Ejea,2,1,2019-03-10,Segunda B,Spain,28
San Fernando,Poli Ejido,2,1,2019-03-10,Segunda B,Spain,28
Coruxo FC,CDGuijuelo,2,2,2019-03-10,Segunda B,Spain,28
UCAM Murcia,Melilla,1,3,2019-03-10,Segunda B,Spain,28
Santander,Sporting Gijon,3,0,2019-03-10,Segunda B,Spain,28
UD Logrones,Torrelavega,3,0,2019-03-10,Segunda B,Spain,28
Ebro,Peralada,0,2,2019-03-10,Segunda B,Spain,28
CDIzarra,Calahorra,0,1,2019-03-10,Segunda B,Spain,28
Valencia CFB,Castellon,1,0,2019-03-10,Segunda B,Spain,28
Almeria B,Rec de Huelva,1,2,2019-03-10,Segunda B,Spain,28
Cultural Leonesa,RealValladolidB,2,1,2019-03-10,Segunda B,Spain,28
Marbella,UD Ibiza,3,1,2019-03-10,Segunda B,Spain,28
RCD Espanyol B,Conquense,4,0,2019-03-10,Segunda B,Spain,28
Real Oviedo II,SD Amorebieta,0,2,2019-03-10,Segunda B,Spain,28
Lida,UE Olot,0,1,2019-03-10,Segunda B,Spain,28
Pontevedra,Burgos,1,1,2019-03-10,Segunda B,Spain,28
CA Linense,CD Badajoz,1,1,2019-03-10,Segunda B,Spain,28
Atletico Madrid B,Fuenlabrada,0,0,2019-03-10,Segunda B,Spain,28
Badalona,Hercules,2,1,2019-03-10,Segunda B,Spain,28
Mirandes,Athletic Bilbao B,1,1,2019-03-10,Segunda B,Spain,28
CD Teruel,CESabadell,2,0,2019-03-10,Segunda B,Spain,28
CF Talavera,Murcia Feminas,1,0,2019-03-10,Segunda B,Spain,28
Real Sociedad B,CD Tudelano,1,1,2019-03-10,Segunda B,Spain,28
UD San Sebastian Reyes,Deportivo La Coruna B,2,0,2019-03-10,Segunda B,Spain,28
Rapido Bouzas,Salmantino Salamanca II,1,0,2019-03-10,Segunda B,Spain,28
Las Palmas Atletico,Ponferradina,1,0,2019-03-10,Segunda B,Spain,28
Durango,UP Langreo,1,0,2019-03-09,Segunda B,Spain,28
Salamanca,Internacional,0,0,2019-03-09,Segunda B,Spain,28
Granada CFB,Villanovense,2,1,2019-03-09,Segunda B,Spain,28
Real Madrid Castilla,Celta Vigo B,2,0,2019-03-09,Segunda B,Spain,28
Arenas Getxo,Real Union Irun,1,0,2019-03-09,Segunda B,Spain,28
SD Gernika,Leioa SD,0,0,2019-03-09,Segunda B,Spain,28
Real Oviedo II,Sporting Gijon,2,0,2019-03-06,Segunda B,Spain,22
Villanovense,CA Linense,0,0,2019-03-03,Segunda B,Spain,27
Peralada,RCD Espanyol B,2,2,2019-03-03,Segunda B,Spain,27
Victoria,Leioa SD,3,1,2019-03-03,Segunda B,Spain,27
Castellon,Levante B,1,1,2019-03-03,Segunda B,Spain,27
Melilla,Cartagena FC,1,2,2019-03-03,Segunda B,Spain,27
Real Union Irun,Mirandes,0,0,2019-03-03,Segunda B,Spain,27
BarakaldoCF,Durango,1,0,2019-03-03,Segunda B,Spain,27
CDANavalcarnero,Cultural Leonesa,0,1,2019-03-03,Segunda B,Spain,27
At Sanluqueno,Granada CFB,1,1,2019-03-03,Segunda B,Spain,27
Rec de Huelva,Poli Ejido,2,0,2019-03-03,Segunda B,Spain,27
Malaga B,UCAM Murcia,0,3,2019-03-03,Segunda B,Spain,27
Calahorra,Arenas Getxo,1,1,2019-03-03,Segunda B,Spain,27
CESabadell,Ebro,0,0,2019-03-03,Segunda B,Spain,27
Murcia Feminas,Marbella,1,1,2019-03-03,Segunda B,Spain,27
Fuenlabrada,Las Palmas Atletico,1,0,2019-03-03,Segunda B,Spain,27
UE Olot,Atletico Baleares,0,0,2019-03-03,Segunda B,Spain,27
Sevilla Atletico,Don Benito,1,1,2019-03-03,Segunda B,Spain,27
Burgos,Rapido Bouzas,1,0,2019-03-03,Segunda B,Spain,27
CD Tudelano,UD Logrones,2,1,2019-03-03,Segunda B,Spain,27
Ejea,CD Teruel,0,0,2019-03-03,Segunda B,Spain,27
CDGuijuelo,UD San Sebastian Reyes,3,0,2019-03-03,Segunda B,Spain,27
Alcoyano,Cornella,0,2,2019-03-03,Segunda B,Spain,27
RealValladolidB,Salamanca,1,1,2019-03-03,Segunda B,Spain,27
Celta Vigo B,Atletico Madrid B,0,3,2019-03-03,Segunda B,Spain,27
Salmantino Salamanca II,Coruxo FC,0,0,2019-03-03,Segunda B,Spain,27
